sentence1	sentence2	label
The Black River, at 71 km (44 miles), is the longest in Jamaica; it was an arterial route used to transport rum and lumber from the inland plantations.	The Black River received its name because the water in its stream is actually black.	1
Given the limits on the WTO's jurisdiction, it was probably unreasonable of Kodak to expect a real victory.	It likely was irrational for Kodak to look forward to a true victory.	0
In the Blue Mountain National Park and the John Crow National Park, which together cover 78,200 hectares (193, 200 acres), conservationists are attempting to halt the encroachment of local farmers and loggers.	Blue mountain National Park is preventing farmers from working there because the park already has farmers.	1
um-hum  right do where are you at what state	What state are you at?	0
Ca'daan's mouth hung open.	Ca'daan kept his mouth shut.	2
And the trunk? Big? Mother asked again to keep up appearances.	Mother, trying to keep up appearances, asked if the trunk was big.	0
(And yes, he has said a few things that can, with some effort, be construed as support for supply-side economics.)	It would take some work to construe the things as support for supply-side economics.	0
"This is my old friend, Monsieur Poirot, whom I have not seen for years."""	Monsieur Poirot is someone I used to work with back in college. 	1
He dismounted and Ca'daan saw he was smaller than the rest.	He was shorter than the others.	0
Click Friedrich Hayek ring to go ...	Clicking will bring you to the next site.	1
"But in all probability the girl will have entirely forgotten the intervening period, and will take up life where she left off at the sinking of the Lusitania."""	The man will remember that period and will take up life where he left it off.	2
NONFEDERAL PHYSICAL PROPERTY ANNUAL STEWARDSHIP INFORMATION For the Fiscal Year Ended September	The report details federal physical property	2
The analysis concluded that, because the rule relaxed the hog cholera-related restrictions imposed on the importation of live swine and prepared pork products from Sonora, Mexico, the proposed rule could have a significant economic impact on a substantial number of small entities in the United States.	The analysis thought the rule would have no impact on US entities at all.	2
Based on field observations and some discussions with U.S.	The field observations may have been faulty. 	1
The contrast between the landscape of the central highlands and the south coast could not be more marked.	The contrast between the highlands and the coast were easily marked.	0
He seemed a trifle embarrassed.	He wasn't embarrassed at all.	2
Flanked with patches of forest leading up into the foothills of the Himalayas, the flat plain stretches right across to the Bay of Bengal 1,600 km (1,000 miles) away, but some areas are kept as nature reserves for the country's wildlife, notably its tigers, leopards, and elephants.	The nature reserves offer tours to see the wildlife.	1
Total electricity expenditures increase by about 15% to 30% depending on the year and the scenario (see Table 3, below, and the tables in Appendix 5.2 for more detail on the changing pattern of expenditures).	The utility cost varied between 15% to 30% more.	0
It can be done, he said at last. 	It is impossible. 	2
Most of the Clinton women were in their 20s at the time of their Clinton encounter	They had wanted to meet Bill Clinton	1
Hamon said the proposed bill has attracted a number of co-sponsors, and Legal Aid backers are hoping to get it passed in the upcoming legislative session.	Legal Aid backers were hoping to get the proposed bill passed soon.	0
Beginning with his unsuccessful reconnoitring at Bournemouth, he passed on to his return to London, the buying of the car, the growing anxieties of Tuppence, the call upon Sir James, and the sensational occurrences of the previous night.	His life had been slow and boring as of late. 	2
it was difficult	It was challenging to fight him.	1
FEC Chairman Scott Thomas, a Democrat who was also at the conference, noted that the Federal Election Campaign Act of 1971 outlined three principles that need to be preserved on the  1) disclosure of how money is raised and spent to influence elections; 2) limits on the amount that any one person can contribute to a campaign; and 3) restrictions on independent spending by corporations and unions.	Scott Thomas was the FEC Chairman who attended the conference in NYC.	1
He jumped up, planting one hand on the charging horse, and came at the brute with the axe.	He swung his axe at the brute to knock him off balance.	1
so i like music i like listening to music so i don't usually listen to KCBI and then there's another one called Journey that's somewhere in between the two of those it's in between ninety and ninety four	KCBI plays my kind of music, so I always listen to it.	2
At the time of publication, this document, along with other publications pertaining to information security, was available on NIST's Computer Security Resource Clearinghouse internet page at //csrc.nist.gov/publications.html.	The document as well as all security information was kept private.	2
After being diagnosed with cancer, Carrey's Kaufman decides to do a show at Carnegie Hall.	Carrey's Kaufman eventually recovers from the cancer he was diagnosed with.	1
Jon drew it out and stabbed again in the man's throat.	Jon wiped the blade after stabbing the man in the throat.	1
Decline in total expenditure (income) elasticity of demand from 0.36 to 0.25 over same period.	Decline in elasticity of demand moved from 0.36 to 0.25 over the same period.	0
In my Crossfire days, I was patronized even by Sam Donaldson.	During Crossfire, even Sam Donaldson patronized me.	0
um-hum yeah when when i mentioned i've done this camping out of the car i've actually done of the situation just like that but what's interesting is it's through Texas Instruments	I camped out of my car when I was homeless.	1
The park is a graceful and elegant expanse with fine views of the mountains, much loved by Dubliners since it was first opened to the public in 1747.	The park is ugly and you can't even see the mountains.	2
On top is a broad plateau 650 metres (2,132 feet) long by 300 metres (984 feet) wide.	There is a plateau on the top, which is 650 meters long.	0
This doesn't look good.	This looks really bad.	0
Now sink of sorrow I who live--the more the wrong!Who wishing death, whom death denies, whose thread is all too long;Who tied to wretched life, who looks for no relief,Must spend my ever dying days in never ending grief.	I live in a constant state of despair and depression. 	0
The avenue on the left leads towards the pointed Divan Tower (Divan Kulesi), at the foot of which lie the Council Chamber and the Grand Vezir's Office.	There is no road to reach the Grand Vezir's Office.  	2
yeah well i can't i'll you know i say i can't wait for my kids to grow up but i believe i'm going to miss this age when they're gone	My oldest child is five years old.	1
those little kids don't understand it	The little kid understand it perfectly. 	2
Scutari is traditionally associated with the name of Florence Nightingale.	There is no association between Florence Nightingale and Scutari.	2
Participants generally viewed the new internal control reporting requirements of the Sarbanes-Oxley Act of 2002 as a good requirement.	The Sarbanes-Oxley Act of 2002 focused mainly on SEC filings, and ignored internal controls and reporting completely.	2
